Node,FL Round,Epoch,Training Time,Loss,Accuracy,Aggregation Time,Round Time,Epsilon
1.0,1.0,30.0,265.46088671684265,0.07130737602710724,0.9849327802658081,,,
2.0,1.0,30.0,227.63959622383118,0.07352615147829056,0.9860660433769226,,,
3.0,1.0,30.0,183.51058888435364,0.07673998922109604,0.985447883605957,,,
4.0,1.0,30.0,182.63537788391113,0.07701300829648972,0.9852160811424255,,,
5.0,1.0,30.0,183.4443233013153,0.2929055690765381,0.985937237739563,,,
,,,,,,0.0070819854736328125,1049.1799030303955,3.20233162812017
1.0,2.0,30.0,183.67310905456543,0.07626994699239731,0.9854736328125,,,
2.0,2.0,30.0,182.98409295082092,0.07919289916753769,0.9849585294723511,,,
3.0,2.0,30.0,183.95149207115173,0.07472722232341766,0.9857827425003052,,,
4.0,2.0,30.0,185.05158305168152,0.07946402579545975,0.9846237301826477,,,
5.0,2.0,30.0,184.3837230205536,0.07485693693161011,0.9857827425003052,,,
,,,,,,0.0013120174407958984,925.8188927173615,3.20233162812017
1.0,3.0,30.0,188.0617709159851,0.07140881568193436,0.9866068959236145,,,
2.0,3.0,30.0,184.98010897636414,0.07770302146673203,0.9851388335227966,,,
3.0,3.0,30.0,184.77011704444885,0.07888562977313995,0.9848297238349915,,,
4.0,3.0,30.0,183.33673882484436,35.29815673828125,0.9848812818527222,,,
5.0,3.0,30.0,185.36736702919006,0.0773502066731453,0.9852160811424255,,,
,,,,,,0.0014042854309082031,932.2152678966522,3.20233162812017
1.0,4.0,30.0,192.70349407196045,0.07810870558023453,0.985499382019043,,,
2.0,4.0,30.0,197.95483589172363,0.07422436773777008,0.9849585294723511,,,
3.0,4.0,30.0,199.83946800231934,0.07983729988336563,0.9846237301826477,,,
4.0,4.0,30.0,199.28079891204834,263240.8125,0.9862463474273682,,,
5.0,4.0,30.0,201.1730079650879,0.07357735186815262,0.9860402941703796,,,
,,,,,,0.0014929771423339844,997.0562329292297,3.20233162812017
1.0,5.0,30.0,200.89158868789673,0.07691633701324463,0.9852418303489685,,,
2.0,5.0,30.0,202.05587887763977,0.068276047706604,0.9853706359863281,,,
3.0,5.0,30.0,202.8705611228943,0.07779053598642349,0.9853706359863281,,,
4.0,5.0,30.0,199.75860905647278,0.07709065079689026,0.985885739326477,,,
5.0,5.0,30.0,200.23297715187073,0.07391661405563354,0.9846752285957336,,,
,,,,,,0.0015361309051513672,1012.1020390987396,3.20233162812017
1.0,6.0,30.0,202.4505910873413,0.07547321915626526,0.9856281876564026,,,
2.0,6.0,30.0,201.9999189376831,0.07859556376934052,0.9848297238349915,,,
3.0,6.0,30.0,201.89217281341553,0.07559183984994888,0.9855766892433167,,,
4.0,6.0,30.0,206.27817797660828,0.07666900008916855,0.9853191375732422,,,
5.0,6.0,30.0,206.71527123451233,0.0675884559750557,0.9860145449638367,,,
,,,,,,0.0016429424285888672,1025.5714490413666,3.20233162812017
1.0,7.0,30.0,208.632493019104,0.07539273798465729,0.9857569932937622,,,
2.0,7.0,30.0,205.73256015777588,0.0732266753911972,0.9862978458404541,,,
3.0,7.0,30.0,204.83434891700745,0.07491438835859299,0.9857054352760315,,,
4.0,7.0,30.0,205.89896988868713,0.07384095340967178,0.985962986946106,,,
5.0,7.0,30.0,206.50009107589722,0.07596570253372192,0.9842888712882996,,,
,,,,,,0.0026090145111083984,1037.8463258743286,3.20233162812017
1.0,8.0,30.0,205.50461888313293,0.07750771939754486,0.9853448867797852,,,
2.0,8.0,30.0,198.65023803710938,0.07930586487054825,0.9847524762153625,,,
3.0,8.0,30.0,187.96800708770752,0.07563624531030655,0.9855766892433167,,,
4.0,8.0,30.0,181.93417286872864,0.07043994963169098,0.9862205982208252,,,
5.0,8.0,30.0,180.93508505821228,0.0760452151298523,0.9860145449638367,,,
,,,,,,0.0015072822570800781,960.7996628284454,3.20233162812017
1.0,9.0,30.0,180.18010997772217,0.0764356330037117,0.9853448867797852,,,
2.0,9.0,30.0,165.9737570285797,0.0745505839586258,0.9858599901199341,,,
3.0,9.0,30.0,141.34079909324646,0.08099062740802765,0.9842631220817566,,,
4.0,9.0,30.0,141.8746461868286,0.07970508188009262,0.984572172164917,,,
5.0,9.0,30.0,142.5591061115265,0.07793685793876648,0.985010027885437,,,
,,,,,,0.0013339519500732422,776.7165811061859,3.20233162812017
1.0,10.0,30.0,142.8415071964264,0.13575822114944458,0.9865296483039856,,,
2.0,10.0,30.0,142.74817490577698,0.07450748234987259,0.9858342409133911,,,
3.0,10.0,30.0,141.814386844635,0.07919540256261826,0.9847009778022766,,,
4.0,10.0,30.0,142.16905093193054,0.07552549242973328,0.9860660433769226,,,
5.0,10.0,30.0,141.70427680015564,0.14789526164531708,0.9844691753387451,,,
,,,,,,0.0013630390167236328,715.8964581489563,3.20233162812017
