,FL Round Time (HE),FL Round Time (No HE),FL Convergence Time (HE),FL Convergence Time (non-HE),Accuracy (HE),Accuracy (non-HE),Loss (HE),Loss (non-HE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3457.82974910736,2761.61974910736,2248.5958,2257.2381,0.4955,0.4815,0.7421,0.7167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3314.41465902329,2474.84465902329,2138.8717,1902.2541,0.5100,0.4949,0.7252,0.6989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3209.10652422905,2546.65652422905,1957.9557,1898.2541,0.4830,0.4930,0.7114,0.6825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3207.7787539959,2436.8887539959,1928.4677,1853.2321,0.6139,0.5295,0.6778,0.6541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3116.20352983475,2390.86352983475,1892.5995,1758.2547,0.6443,0.5929,0.6643,0.6642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2716.69527006149,1751.02527006149,1777.2281,1745.2478,0.6661,0.6583,0.6018,0.5637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2631.48131299019,1449.30131299019,1732.4034,1712.3256,0.6598,0.6729,0.6389,0.5251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2333.63074493408,1114.51074493408,1675.1658,1705.2221,0.7024,0.6911,0.4939,0.4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2241.54692387581,1099.87692387581,1702.2446,1723.0069,0.6987,0.7129,0.5021,0.4715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2131.1245470047,677.2045470047,1738.2518,1717.2476,0.7308,0.7135,0.4576,0.4291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2031.9245550040,781.1245470047,1748.5604,1722.5059,0.7407,0.7208,0.3788,0.3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1802.25412635,781.1245470047,1728.3576,1707.9656,0.7161,0.7288,0.3711,0.3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1564.3256896541,781.1245470047,1625.7376,1552.7544,0.7207,0.7289,0.2836,0.2442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1121.2541258754,781.1245470047,1590.2389,1490.0468,0.7404,0.7369,0.2119,0.2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1056.235647777,781.1245470047,1578.9635,1492.4136,0.7644,0.7585,0.2178,0.2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
