FL Round,Convergence Time (s),Accuracy,Loss,TP,TN,FP,FN
1,1482.28,0.9329403042793274,1.7108395189318804e+29,81139.0,371630.0,10661.0,21884.0
1,1373.36,0.9529582858085632,1.0452749481233417e+29,90785.0,371699.0,11203.0,11627.0
1,871.02,0.9384996294975281,1.4177718161882316e+29,83845.0,371622.0,10766.0,19081.0
1,950.35,0.9556596279144287,8.445341380389477e+28,92288.0,371507.0,11345.0,10174.0
1,934.74,0.9145426154136658,4.108759182604902e+29,70789.0,373055.0,9589.0,31885.0
2,911.56,0.9174163341522217,3.234336714859224e+29,72780.0,372455.0,9836.0,30243.0
2,908.22,0.9561046957969666,6.835347808804619e+28,92874.0,371137.0,11765.0,9538.0
2,861.89,0.910824716091156,4.755911152049402e+29,68895.0,373141.0,9247.0,34031.0
2,879.6,0.9585855603218079,2.494295655025683e+28,95252.0,369963.0,12889.0,7210.0
2,891.0,0.9332994222640991,1.7641472918424468e+29,81016.0,371931.0,10713.0,21658.0
3,900.22,0.9250320196151733,2.4066386633576733e+29,76845.0,372086.0,10205.0,26178.0
3,909.3,0.9572688937187195,8.031801504360503e+27,96154.0,368422.0,14480.0,6258.0
3,924.73,0.9371849894523621,1.4928810550982733e+29,83155.0,371674.0,10714.0,19771.0
3,922.61,0.9115809798240662,4.701313795299694e+29,68670.0,373733.0,9119.0,33792.0
3,891.14,0.915393590927124,3.909444716092994e+29,71263.0,372994.0,9650.0,31411.0
4,910.08,0.9329753518104553,1.7056868504150917e+29,81160.0,371626.0,10665.0,21863.0
4,938.7,0.5762001276016235,3.7526795271703786e+30,102407.0,177231.0,205671.0,5.0
4,936.6,0.8949896097183228,9.347432571147607e+29,60312.0,374039.0,8349.0,42614.0
4,939.49,0.9127925634384155,4.357298841755606e+29,69359.0,373632.0,9220.0,33103.0
4,940.13,0.9124038219451904,4.6445358386028554e+29,69586.0,373220.0,9424.0,33088.0
5,920.72,0.9184795618057251,3.0615445696723863e+29,73366.0,372385.0,9906.0,29657.0
5,949.56,0.9310920238494873,1.7756524877519917e+29,79488.0,372384.0,10518.0,22924.0
5,908.53,0.9137279987335205,3.942714732438107e+29,70506.0,372939.0,9449.0,32420.0
5,929.73,0.9191080331802368,3.015465984268456e+29,72921.0,373135.0,9717.0,29541.0
5,901.9,0.9368434548377991,1.7011998466777282e+29,82777.0,371890.0,10754.0,19897.0
6,919.65,0.9257696866989136,2.359972426668615e+29,77250.0,372039.0,10252.0,25773.0
6,943.52,0.9461585879325867,1.1541002781164685e+29,87368.0,371816.0,11086.0,15044.0
6,952.41,0.9248569011688232,2.4379579645560428e+29,76518.0,372328.0,10060.0,26408.0
6,964.9,0.9339479207992554,1.6580642400659224e+29,80887.0,372371.0,10481.0,21575.0
6,946.58,0.9555837512016296,8.217110352745684e+28,92797.0,370965.0,11679.0,9877.0
7,941.74,0.9055436253547668,5.9293043750896456e+29,66182.0,373291.0,9000.0,36841.0
7,945.55,0.9559440016746521,7.426298611394498e+28,92695.0,371238.0,11664.0,9717.0
7,959.0,0.9466530680656433,1.1130194676086889e+29,88098.0,371326.0,11062.0,14828.0
7,970.96,0.9216816425323486,2.7217300666674813e+29,74283.0,373022.0,9830.0,28179.0
7,967.8,0.9175097346305847,3.477164577301567e+29,72444.0,372840.0,9804.0,30230.0
8,985.02,0.9143770933151245,3.894446102354081e+29,71054.0,372706.0,9585.0,31969.0
8,1051.97,0.576117753982544,1.4505435473115384e+30,102367.0,177231.0,205671.0,45.0
8,929.48,0.9294580221176147,1.8467666046175257e+29,79146.0,371933.0,10455.0,23780.0
8,961.94,0.9585546851158142,1.9054068737605485e+28,95598.0,369602.0,13250.0,6864.0
8,997.21,0.9275588393211365,2.2303886125374193e+29,78379.0,371782.0,10862.0,24295.0
9,979.25,0.9576459527015686,1.8885075311241133e+28,95972.0,368787.0,13504.0,7051.0
9,1004.79,0.9087209701538086,5.359796799777851e+29,67170.0,373845.0,9057.0,35242.0
9,1404.82,0.9187886714935303,2.9609526856421427e+29,73318.0,372583.0,9805.0,29608.0
9,901.23,0.9197282791137695,2.8924851718482682e+29,73253.0,373104.0,9748.0,29209.0
9,894.97,0.5776377320289612,3.7121907125248915e+29,102617.0,177721.0,204923.0,57.0
10,907.52,0.9048821926116943,6.2625840673555556e+29,65791.0,373361.0,8930.0,37232.0
10,993.13,0.9557173252105713,7.6120193681961475e+28,92540.0,371283.0,11619.0,9872.0
10,993.14,0.9375105500221252,1.4518899695536682e+29,83338.0,371649.0,10739.0,19588.0
10,955.76,0.9575223326683044,1.4341569639501796e+28,95855.0,368844.0,14008.0,6607.0
10,967.27,0.9369856715202332,1.6781499758748415e+29,82875.0,371861.0,10783.0,19799.0
